LOCAL,Localitat,,LAVADORAS,,,,,,SECADORAS,,,Cobrament datáfon,
HORTES,GRANOLLERS,Núm. Màquina,1,2,3,4,5,,6,7,8,Preu exacte,"Monedes, Bitllets, targeta fidelització i targeta de crèdit"
,,Peso,8kg.,8kg.,13 kg.,18 kg.,18kg.,,17 kg.,17 kg.,17 kg.,,
,,Fidelity,4 €,4 €,6 €,7 €,7 €,,2€/15 min.,3€/25 min.,3€/25 min.,,
,,Cash,5 €,5 €,7 €,8 €,8 €,,3€/15 min.,4€/25 min.,4€/25 min.,,
ALEMANYA,MATARÓ,Núm. Màquina,1,2,3,4,,,5,6,,Preu exacte,"Monedes, Bitllets, targeta fidelització i targeta de crèdit"
,,Peso,20 kg.,20 kg.,10 kg.,10 kg.,,,20kg.,20kg.,,,
,,Fidelity,7 €,7 €,4 €,4 €,,,"2,5 €","2,5 €",,,
,,Cash,8 €,8 €,4.5€,4.5€,,,3 €,3 €,,,
GOYA,MATARÓ,Núm. Màquina,4,5,6,7,,,1,2,3,Preu 7€,"Monedes, Bitllets, targeta fidelització i targeta de crèdit"
,,Peso,20kg.,20kg.,10 kg.,10kg.,,,,,,,
,,Fidelity,"6,5 €","6,5 €","3,5 €","3,5 €",,,2€/15 min.,2€/15 min.,2€/15 min.,,
,,Cash,7 €,7 €,4 €,4 €,,,,,,,
,,,,,,,,,,,,,
PINEDA,PINEDA de Mar,Núm. Màquina,1,2,3,,,,4,5,,Preu 8€,"Monedes, Bitllets, targeta fidelització i targeta de crèdit"
,,Peso,10 Kg.,15kg.,20kg.,,,,20kg.,20kg.,,,
,,Fidelity,"4,5 €",6 €,7 €,,,,2€/15 min.,2€/15 min.,,,
,,Cash,5 €,7 €,8 €,,,,2€/15 min.,2€/15 min.,,,
ESCALA,L'Escala,Núm. Màquina,1,2,3,4,,,5,6,,Preu exacte,
,,Peso,10 Kg.,10 Kg.,20 Kg.,20 Kg.,,,20kg.,20kg.,,,Targeta de crèdit
,,Fidelity,6 €,6 €,9 €,9 €,,,3€/15min.,3€/15min.,,,
,,Cash,6 €,6 €,9 €,9 €,,,4€/20 min.,4€/20 min.,,,
,,Extra aclarado,1 €,1 €,1 €,1 €,,,5€/25 min,5€/25 min,,,
,,Extra lavado,1 €,1 €,1 €,1 €,,,,,,Preu exacte,
PLATJA D'ARO,PLATJA D'ARO,Núm. Màquina,1,2,3,4,,,5,6,,,Targeta de crèdit
,,Pes,20 kg,15 kg,15 kg,13 kg,,,20kg.,20kg.,,,
,,Targeta crèdit,10 €,8 €,8 €,5 €,,,3€/20 min,3€/20 min,,,
,,Extra aclarado,1 €,1 €,1 €,1 €,,,,,,,
,,Extra lavado,1 €,1 €,1 €,1 €,,,,,,,
