brand,type,email,website,city,country,locations,notes
La Wash,Self-service,hola@lawash.es,lawash.es,Madrid,ES,300+,Leader autoservizio ES+PT+IE
Speed Queen Licensed Stores,Self-service,customercenter@alliancels.com,speedqueeninvestor.com/es,El Prat de Llobregat,ES,300+,Alliance Laundry Systems; modello investor
Bloomest (Miele),Self-service,info@bloomestlaundry.com,bloomestlaundry.es,Alcobendas (Madrid),ES,70 ES / 850 EU,Design italiano + tech Miele; 15+ anni
CLAT Lavanderías,Industrial + self-service,informacion@clat.net,clat.net,Elche (Alicante),ES,35+,Prima franchising lavanderia industriale ES; fond. 2002
Pressto,Dry cleaning + laundry,info@pressto.com,pressto.com,Madrid,ES,500+ worldwide,Fond. 1994; 25+ paesi
5àsec,Dry cleaning,nes@5asec.com,5asec.com,Madrid,ES,90+ ES,Leader mondiale tintorerie; 2000+ store 30 paesi
Mr Jeff,Delivery laundry,info@mrjeffapp.com,jeff.com,Valencia,ES,2400+ worldwide,App-based pickup/delivery; fondato Valencia 2015
Open Wash,Self-service,info@openwash.es,openwash.es,Spain,ES,250+,Franchising chiavi in mano
Lavasuper,Self-service,info@lavasuper.com,lavasuper.com,La Garriga (Barcelona),ES,660+,57 anni esperienza; no royalties
Fresh Laundry,Self-service,atencionclimate@freshlaundry.es,freshlaundry.es,Barcelona,ES,,100% automatizzato
Waterproof Laundry,Self-service,info@waterprooflaundry.com,waterprooflaundry.com,Spain,ES,Multiple,Divisione MAGARPA (70+ anni); ES+PT
Lavandería Burbujas,Self-service,info@lavanderiaburbujas.com,lavanderiaburbujas.com,Vélez-Málaga,ES,,Catena regionale in espansione franchise
Colada Perfecta,Self-service,coladaperfecta@gmail.com,coladaperfecta.com,Granada,ES,5,Piccola catena regionale Granada
Nature Lavandería,Self-service eco,,generaldefranquicias.com,Spain,ES,15-18,Brand eco-focused
